,plan_repeat,plan_done,plan_skipped,plan_xgrid,plan_ygrid,log,reboot,fault,c,injector_P,injector_D,stage_x,stage_y
7965,4,True,False,9,15,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,7.42427693877551
7966,4,True,False,9,16,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,7.705906734693878
7967,4,True,False,9,17,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,7.987536530612244
7968,4,True,False,9,18,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,8.269166326530613
7969,4,True,False,9,19,FlagBegin;0xe2937d49c4d67666881601571f82a058;FlagEnd,False,True,0xe2937d49c4d67666881601571f82a058,400,2e-07,12.502039183673467,8.550796122448979
7970,4,True,False,9,20,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,8.832425918367347
7971,4,True,False,9,21,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,9.114055714285714
7972,4,True,False,9,22,FlagBegin;0xf70b7a7bc85bef8a65cf6f6bedb8f17f;FlagEnd,False,True,0xf70b7a7bc85bef8a65cf6f6bedb8f17f,400,2e-07,12.502039183673467,9.395685510204082
7973,4,True,False,9,23,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,9.677315306122448
7974,4,True,False,9,24,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,9.958945102040817
7975,4,True,False,9,25,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a,False,True,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,10.240574897959183
7976,4,True,False,9,26,,True,False,,400,2e-07,12.502039183673467,10.522204693877551
7977,4,True,False,9,27,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,10.803834489795918
7978,4,True,False,9,28,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,11.085464285714286
7979,4,True,False,9,29,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;Fla,False,True,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,11.367094081632652
7980,4,True,False,9,30,FlagBegin;0xbae2d70f8ee55ab6b5ebf8492f2b08f7;FlagEnd,False,True,0xbae2d70f8ee55ab6b5ebf8492f2b08f7,400,2e-07,12.502039183673467,11.64872387755102
7981,4,True,False,9,31,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,11.930353673469389
7982,4,True,False,9,32,,True,False,,400,2e-07,12.502039183673467,12.211983469387755
7983,4,True,False,9,33,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,12.493613265306122
7984,4,True,False,9,34,,True,False,,400,2e-07,12.502039183673467,12.77524306122449
7985,4,True,False,9,35,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,13.056872857142858
7986,4,True,False,9,36,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,13.338502653061225
7987,4,True,False,9,37,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,13.620132448979591
7988,4,True,False,9,38,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,13.90176224489796
7989,4,True,False,9,39,,True,False,,400,2e-07,12.502039183673467,14.183392040816328
7990,4,True,False,9,40,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,14.465021836734694
7991,4,True,False,9,41,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,14.74665163265306
7992,4,True,False,9,42,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,15.028281428571429
7993,4,True,False,9,43,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,15.309911224489797
7994,4,True,False,9,44,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,15.591541020408163
7995,4,True,False,9,45,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,15.87317081632653
7996,4,True,False,9,46,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,16.154800612244898
7997,4,True,False,9,47,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,16.436430408163265
7998,4,True,False,9,48,FlagBegin;0x69c4e0d86a7b0430d8cdb7,False,True,0x69c4e0d86a7b0430d8cdb7,400,2e-07,12.502039183673467,16.71806020408163
7999,4,True,False,9,49,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,16.999689999999998
